"profile_id","hole","uW","sW","uH","sH","tau_H","typical_gap","seed_uW","seed_sW","seed_uH","seed_sH"
4,4,1.1496912874452,1.00437008064582,1.1496912874452,0.824767966196445,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,5,1.07068004620661,1.07068004620661,0.885632031959038,1.25685361699435,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,6,0.944102739789138,1.4599717867294,0.649484156830289,1.1496912874452,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,7,0.649484156830289,1.25685361699435,1.00437008064582,0.885632031959038,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,8,0.75444628720372,0.885632031959038,0.75444628720372,0.75444628720372,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,9,0.885632031959038,0.75444628720372,1.07068004620661,1.00437008064582,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,10,1.4599717867294,0.944102739789138,1.4599717867294,0.944102739789138,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
5,1,1.07068004620661,0.824767966196445,1.25685361699435,0.649484156830289,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,2,1.4599717867294,1.1496912874452,0.885632031959038,0.885632031959038,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,3,0.75444628720372,0.885632031959038,0.75444628720372,0.944102739789138,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,4,1.25685361699435,1.00437008064582,0.944102739789138,1.25685361699435,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,5,0.824767966196445,0.944102739789138,0.824767966196445,1.07068004620661,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,6,0.885632031959038,0.649484156830289,1.00437008064582,1.1496912874452,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,7,0.649484156830289,1.25685361699435,1.07068004620661,0.824767966196445,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,8,1.00437008064582,1.4599717867294,1.4599717867294,1.00437008064582,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,9,1.1496912874452,1.07068004620661,0.649484156830289,1.4599717867294,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
5,10,0.944102739789138,0.75444628720372,1.1496912874452,0.75444628720372,2.47564348156644,0.883,1455688774,1455688512,1455688759,1455688497
